Mês,Consumo (kWh)
2017-02-01,179
2017-03-01,501
2017-04-01,468
2017-05-01,525
2017-06-01,462
2017-07-01,490
2017-08-01,469
2017-09-01,492
2017-10-01,495
2017-11-01,548
2017-12-01,512
2018-01-01,548
2018-02-01,321
2018-03-01,383
2018-04-01,506
2018-05-01,473
2018-06-01,492
2018-07-01,530
2018-08-01,506
2018-09-01,495
2018-10-01,546
2018-11-01,443
2018-12-01,604
2019-01-01,573
2019-02-01,496
2019-03-01,582
2019-04-01,528
2019-05-01,453
2019-06-01,511
2019-07-01,460
2019-08-01,447
2019-09-01,505
2019-10-01,473
2019-11-01,498
2019-12-01,512
2020-01-01,529
2020-02-01,538
2020-03-01,531
2020-04-01,492
2020-05-01,635
2020-06-01,493
2020-07-01,499
2020-08-01,562
2020-09-01,471
2020-10-01,576
2020-11-01,640
2020-12-01,557
2021-01-01,648
2021-02-01,577
2021-03-01,574
2021-04-01,747
2021-05-01,551
2021-06-01,577
2021-07-01,582
2021-08-01,651
2021-09-01,576
2021-10-01,682
2021-11-01,617
2021-12-01,549
2022-01-01,690
2022-02-01,645
2022-03-01,604
2022-04-01,648
2022-05-01,563
2022-06-01,536
2022-07-01,567
2022-08-01,493
2022-09-01,545
2022-10-01,621
2022-11-01,587
2022-12-01,562
2023-01-01,677
2023-02-01,510
2023-03-01,640
2023-04-01,621
2023-05-01,624
2023-06-01,653
2023-07-01,647
2023-08-01,529
2023-09-01,643
2023-10-01,655
2023-11-01,709
2023-12-01,667
2024-01-01,699
2024-02-01,657
2024-03-01,718
2024-04-01,628
2024-05-01,573
2024-06-01,669
2024-07-01,566
2024-08-01,554
2024-09-01,563
2024-10-01,778
2024-11-01,588
2024-12-01,645
2025-01-01,639
